method,m,l2_penalty,image,per_pixel_error,latent_norm
vae-30,25,0.1,0,0.004158953767059449,3.3682374954223633
vae-30,25,0.1,1,0.05222685539247166,4.414748191833496
vae-30,25,0.1,2,0.03164985292614312,3.7589659690856934
vae-30,25,0.1,3,0.007261583987493848,3.362110137939453
vae-30,25,0.1,4,0.03916160625855051,4.288211345672607
vae-30,25,0.1,5,0.02111131792660454,3.5871593952178955
vae-30,25,0.1,6,0.051402745748180156,4.831411838531494
vae-30,25,0.1,7,0.0032038639769967573,2.817438840866089
vae-30,25,0.1,8,0.04360780640492262,5.250827312469482
vae-30,25,0.1,9,0.020972743838219336,4.0397467613220215
vae-30,25,1.0,0,0.01230300508866542,2.2574870586395264
vae-30,25,1.0,1,0.06329110185905235,2.807011127471924
vae-30,25,1.0,2,0.03560994124765626,2.3648242950439453
vae-30,25,1.0,3,0.014696799646948443,2.634591579437256
vae-30,25,1.0,4,0.005915599106314984,1.737428903579712
vae-30,25,1.0,5,0.022644557369215588,2.802269697189331
vae-30,25,1.0,6,0.040661258212173985,2.533475399017334
vae-30,25,1.0,7,0.0064853620774760305,1.9885271787643433
vae-30,25,1.0,8,0.04361670028990707,3.2497200965881348
vae-30,25,1.0,9,0.03657441025637179,2.2427964210510254
fcvae-20,25,0.0,0,0.009014889293482755,9.508034706115723
fcvae-20,25,0.0,1,0.0427327530078415,7.589852809906006
fcvae-20,25,0.0,2,0.03684921189318878,7.313553810119629
fcvae-20,25,0.0,3,0.00803326240819997,7.731257438659668
fcvae-20,25,0.0,4,0.0055066907374966894,8.06513786315918
fcvae-20,25,0.0,5,0.01958943799556994,5.038309097290039
fcvae-20,25,0.0,6,0.09529443517757935,9.341882705688477
fcvae-20,25,0.0,7,0.003036263165299267,7.458518028259277
fcvae-20,25,0.0,8,0.035121359180356186,8.869638442993164
fcvae-20,25,0.0,9,0.02957516842664599,9.736207962036133
fcvae-20,25,0.01,0,0.008470779648007042,7.188901901245117
fcvae-20,25,0.01,1,0.0426057914539559,6.617092609405518
fcvae-20,25,0.01,2,0.02758877226598642,6.152922630310059
fcvae-20,25,0.01,3,0.006549365665239489,5.930752277374268
fcvae-20,25,0.01,4,0.004711054911969436,3.996274709701538
fcvae-20,25,0.01,5,0.020325065135438254,4.5730977058410645
fcvae-20,25,0.01,6,0.09497111801319916,8.22962474822998
fcvae-20,25,0.01,7,0.0028369946681125937,5.1805644035339355
fcvae-20,25,0.01,8,0.02930107962314197,7.045849800109863
fcvae-20,25,0.01,9,0.030390007296527955,8.718087196350098
fcvae-20,25,0.1,0,0.0048909523189543305,3.2694294452667236
fcvae-20,25,0.1,1,0.03760635217568993,4.773332118988037
fcvae-20,25,0.1,2,0.02064553730825658,3.899301528930664
fcvae-20,25,0.1,3,0.007076478104705065,3.5459177494049072
fcvae-20,25,0.1,4,0.004745255257203718,2.3581888675689697
fcvae-20,25,0.1,5,0.019780787628057205,3.6689505577087402
fcvae-20,25,0.1,6,0.05436202675810832,4.292895793914795
fcvae-20,25,0.1,7,0.002642632929349302,2.5849320888519287
fcvae-20,25,0.1,8,0.024095212713888002,4.398787975311279
fcvae-20,25,0.1,9,0.05790424416864153,5.952862739562988
fcvae-20,25,1.0,0,0.010501056615504958,2.025865316390991
