better,worse,m,mean_error_better,mean_error_worse,mean_difference,wins,n,p_wilcoxon,p_ttest,p_holm,significant,verdict
vae-20,vae-30,300,0.00759974772328559,0.00714093063922198,-0.00045881708406360973,5,10,0.4921875,0.2881157453187842,1.0,False,ns
vae-20,vae-30,400,0.00756136724235148,0.007030979950689381,-0.0005303872916620999,4,10,0.322265625,0.17819005902532423,1.0,False,ns
vae-20,vae-30,500,0.007630136053817138,0.00710103302363536,-0.0005291030301817799,4,10,0.232421875,0.2135407607599713,1.0,False,ns
vae-20,vae-30,750,0.00745758173998168,0.006921578497710179,-0.0005360032422714999,4,10,0.275390625,0.16993341368963624,1.0,False,ns
vae-20,dcgan-20,10,0.0778148767162668,0.09889648155165433,0.021081604835387534,7,10,0.10546875,0.06305565911314227,0.419921875,False,ns
vae-20,dcgan-20,25,0.02882262403796602,0.05709462713439238,0.028272003096426367,9,10,0.01953125,0.031216861716175704,0.13671875,False,ns
vae-20,dcgan-20,50,0.01548855020836129,0.042669246704534806,0.027180696496173523,9,10,0.00390625,0.011574382776686591,0.0390625,True,better
vae-20,dcgan-20,75,0.00877282982425035,0.024500759376161065,0.01572792955191071,9,10,0.013671875,0.15412407510274714,0.123046875,False,ns
vae-20,dcgan-20,100,0.008269784632219281,0.01358619196023296,0.00531640732801368,9,10,0.013671875,0.05385841062194383,0.123046875,False,ns
vae-20,dcgan-20,200,0.00792102956781118,0.01056707624039083,0.00264604667257965,8,10,0.048828125,0.0699465218695628,0.29296875,False,ns
vae-20,dcgan-20,300,0.00759974772328559,0.01050411925691675,0.0029043715336311603,8,10,0.083984375,0.1276051403167892,0.419921875,False,ns
vae-20,dcgan-20,400,0.00756136724235148,0.01005047129030314,0.00248910404795166,8,10,0.083984375,0.09317599843355881,0.419921875,False,ns
vae-20,dcgan-20,500,0.007630136053817138,0.00935977187206381,0.0017296358182466698,7,10,0.16015625,0.15964996868188885,0.419921875,False,ns
vae-20,dcgan-20,750,0.00745758173998168,0.00938709450791551,0.0019295127679338302,7,10,0.130859375,0.12012872670455622,0.419921875,False,ns
vae-20,dcgan-30,10,0.0778148767162668,0.07311312069112982,-0.004701756025136979,5,10,0.921875,0.7428305504688768,0.921875,False,ns
vae-20,dcgan-30,25,0.02882262403796602,0.04592288390687731,0.017100259868911283,9,10,0.064453125,0.07465133385960109,0.12890625,False,ns
vae-20,dcgan-30,50,0.01548855020836129,0.034570850645362236,0.01908230043700095,10,10,0.001953125,0.0008403714192123777,0.01953125,True,better
vae-20,dcgan-30,75,0.00877282982425035,0.03179999198314931,0.023027162158898957,10,10,0.001953125,0.00840184441295806,0.01953125,True,better
vae-20,dcgan-30,100,0.008269784632219281,0.029442453498731046,0.021172668866511767,10,10,0.001953125,0.018932436217307,0.01953125,True,better
vae-20,dcgan-30,200,0.00792102956781118,0.023281624519752388,0.015360594951941208,10,10,0.001953125,0.012909966607647774,0.01953125,True,better
vae-20,dcgan-30,300,0.00759974772328559,0.02494077486618752,0.01734102714290193,10,10,0.001953125,0.01998561815543512,0.01953125,True,better
vae-20,dcgan-30,400,0.00756136724235148,0.022917073042893067,0.015355705800541592,10,10,0.001953125,0.009397725023958466,0.01953125,True,better
vae-20,dcgan-30,500,0.007630136053817138,0.02371623920582319,0.016086103152006048,10,10,0.001953125,0.01924701978158552,0.01953125,True,better
vae-20,dcgan-30,750,0.00745758173998168,0.02252886897227288,0.015071287232291203,10,10,0.001953125,0.010738077650079203,0.01953125,True,better
vae-30,dcgan-20,10,0.07551506774080176,0.09889648155165433,0.02338141381085257,7,10,0.232421875,0.14918217226105387,0.322265625,False,ns
vae-30,dcgan-20,25,0.01937793318413377,0.05709462713439238,0.03771669395025862,10,10,0.001953125,0.004060941518510759,0.01953125,True,better
vae-30,dcgan-20,50,0.01907752949924998,0.042669246704534806,0.023591717205284832,8,10,0.013671875,0.027204196858449117,0.109375,False,ns
vae-30,dcgan-20,75,0.00914920292434349,0.024500759376161065,0.015351556451817568,9,10,0.009765625,0.12898901843059934,0.087890625,False,ns
vae-30,dcgan-20,100,0.00774840250367387,0.01358619196023296,0.0058377894565590895,9,10,0.01953125,0.043939841133839495,0.13671875,False,ns
vae-30,dcgan-20,200,0.00722789395702841,0.01056707624039083,0.0033391822833624208,8,10,0.037109375,0.05511712320677059,0.22265625,False,ns
vae-30,dcgan-20,300,0.00714093063922198,0.01050411925691675,0.00336318861769477,8,10,0.083984375,0.08755903630274933,0.322265625,False,ns
vae-30,dcgan-20,400,0.007030979950689381,0.01005047129030314,0.00301949133961376,8,10,0.064453125,0.06711147910894004,0.322265625,False,ns
vae-30,dcgan-20,500,0.00710103302363536,0.00935977187206381,0.0022587388484284496,8,10,0.064453125,0.07914805135822557,0.322265625,False,ns
vae-30,dcgan-20,750,0.006921578497710179,0.00938709450791551,0.0024655160102053306,7,10,0.083984375,0.07281671846415015,0.322265625,False,ns
vae-30,dcgan-30,10,0.07551506774080176,0.07311312069112982,-0.002401947049671941,5,10,1.0,0.8219264741637529,1.0,False,ns
vae-30,dcgan-30,25,0.01937793318413377,0.04592288390687731,0.026544950722743533,9,10,0.005859375,0.008285062323272545,0.01953125,True,better
vae-30,dcgan-30,50,0.01907752949924998,0.034570850645362236,0.01549332114611226,10,10,0.001953125,0.0018268651335464335,0.01953125,True,better
vae-30,dcgan-30,75,0.00914920292434349,0.03179999198314931,0.02265078905880582,10,10,0.001953125,0.004793606733287234,0.01953125,True,better
vae-30,dcgan-30,100,0.00774840250367387,0.029442453498731046,0.02169405099505718,10,10,0.001953125,0.017118641848520966,0.01953125,True,better
vae-30,dcgan-30,200,0.00722789395702841,0.023281624519752388,0.016053730562723977,10,10,0.001953125,0.01049820810161678,0.01953125,True,better
vae-30,dcgan-30,300,0.00714093063922198,0.02494077486618752,0.017799844226965542,10,10,0.001953125,0.017207588166062736,0.01953125,True,better
vae-30,dcgan-30,400,0.007030979950689381,0.022917073042893067,0.015886093092203693,10,10,0.001953125,0.00804041812569648,0.01953125,True,better
vae-30,dcgan-30,500,0.00710103302363536,0.02371623920582319,0.01661520618218783,10,10,0.001953125,0.015978622345423923,0.01953125,True,better
vae-30,dcgan-30,750,0.006921578497710179,0.02252886897227288,0.015607290474562701,10,10,0.001953125,0.009245547816457951,0.01953125,True,better
